abv,degree,sweet,acidity,body,tannin,price,year
9.5,7,3,2,2,1,7000,0
13,9,3,2,2,1,9900,0
9,7,3,2,2,1,18750,0
11,7,3,2,2,1,32000,0
10.5,7,3,2,2,1,7900,0
9,7,3,2,2,1,4990,0
10,65,3,2,5,1,12750,0
8.5,60,3,1,4,1,18000,0
6.3,5,1,4,2,1,12500,0
7,9,1,3,1,1,33000,0
25,20,1,3,3,1,31928.57143,0
7.5,9,2,3,2,2,33000,0
8.5,65,3,4,4,2,29250,0
7.2,7,3,2,2,1,14000,0
7,7,3,2,2,1,13000,0
7,7,3,2,2,1,14400,0
6,7,3,2,2,1,9900,0
7,7,3,2,2,1,35000,0
7,9,3,2,2,1,9000,0
8,7,3,2,2,1,30000,0
6,7,3,3,2,1,9900,0
6,7,3,2,2,1,31000,0
8.5,5,3,2,2,1,30000,0
7,7,3,2,2,1,18000,0
7,7,3,1,3,1,18000,0
5.5,7,3,1,3,1,17100,0
